7.599999999999999645e+00	1.199999999999999956e+00	4.400000000000000355e+00	1.687700910063890225e+00
3.399999999999999911e+00	2.600000000000000089e+00	1.600000000000000089e+00	1.723675314050454377e+00
3.399999999999999911e+00	1.699999999999999956e+00	2.100000000000000089e+00	1.723959826506101134e+00
6.599999999999999645e+00	6.599999999999999645e+00	3.000000000000000000e+00	1.741196920092289213e+00
7.200000000000000178e+00	7.299999999999999822e+00	3.500000000000000000e+00	1.777746173051687473e+00
6.700000000000000178e+00	5.599999999999999645e+00	1.800000000000000044e+00	1.778727419101274965e+00
2.700000000000000178e+00	3.000000000000000000e+00	1.300000000000000044e+00	1.821758408959095243e+00
4.700000000000000178e+00	2.100000000000000089e+00	7.799999999999999822e+00	1.835095372337561370e+00
5.099999999999999645e+00	4.000000000000000000e+00	5.599999999999999645e+00	1.862066586430256132e+00
3.200000000000000178e+00	1.000000000000000000e+00	3.399999999999999911e+00	1.870975110393304108e+00
7.000000000000000000e+00	6.299999999999999822e+00	1.699999999999999956e+00	1.875411076041368252e+00
4.200000000000000178e+00	4.799999999999999822e+00	7.799999999999999822e+00	1.876041586582477327e+00
1.199999999999999956e+00	7.099999999999999645e+00	2.299999999999999822e+00	1.876448863973984249e+00
6.799999999999999822e+00	5.200000000000000178e+00	6.400000000000000355e+00	1.888344573286863559e+00
2.600000000000000089e+00	4.599999999999999645e+00	1.699999999999999956e+00	1.897981675771566623e+00
2.799999999999999822e+00	7.799999999999999822e+00	6.000000000000000000e+00	1.996178244168941740e+00
6.000000000000000000e+00	7.299999999999999822e+00	4.900000000000000355e+00	2.003473245180570128e+00
1.399999999999999911e+00	1.399999999999999911e+00	5.700000000000000178e+00	2.008621278863686577e+00
1.699999999999999956e+00	4.700000000000000178e+00	2.700000000000000178e+00	2.021676574762051093e+00
4.500000000000000000e+00	7.900000000000000355e+00	6.400000000000000355e+00	2.024407413143378243e+00
3.000000000000000000e+00	6.299999999999999822e+00	5.299999999999999822e+00	2.049462366562623039e+00
6.799999999999999822e+00	5.500000000000000000e+00	4.500000000000000000e+00	2.064138885874014839e+00
8.000000000000000000e+00	3.399999999999999911e+00	3.700000000000000178e+00	2.114053038450387945e+00
6.700000000000000178e+00	7.299999999999999822e+00	6.799999999999999822e+00	2.141530585976747503e+00
6.299999999999999822e+00	6.599999999999999645e+00	5.200000000000000178e+00	2.247685276545011046e+00
