1.500000000000000031e-03	3.700000000000000178e+00	5.117392164583389746e-01
1.770000000000000089e-03	3.299999999999999822e+00	5.425421535395659189e-01
1.000000000000000021e-03	7.200000000000000178e+00	5.485085744697314469e-01
1.750000000000000036e-03	2.899999999999999911e+00	5.510232230791678454e-01
5.900000000000000296e-04	7.099999999999999645e+00	5.525226406753063202e-01
1.129999999999999928e-03	4.500000000000000000e+00	5.558466372581628567e-01
1.549999999999999946e-03	6.400000000000000355e+00	5.563897430323637705e-01
1.580000000000000024e-03	3.100000000000000089e+00	5.566193702129217380e-01
1.700000000000000122e-04	4.700000000000000178e+00	5.566663994238927327e-01
7.399999999999999894e-04	4.099999999999999645e+00	5.598590614703985446e-01
1.080000000000000014e-03	7.400000000000000355e+00	5.610439172730996571e-01
1.680000000000000070e-03	6.299999999999999822e+00	5.616945309134629971e-01
1.270000000000000078e-03	4.299999999999999822e+00	5.646169732969540389e-01
1.270000000000000078e-03	5.299999999999999822e+00	5.782005935907363892e-01
1.850000000000000082e-03	6.599999999999999645e+00	5.827967770970784445e-01
8.499999999999999526e-04	4.599999999999999645e+00	5.837619098333212131e-01
5.900000000000000296e-04	7.099999999999999645e+00	5.866934224390066843e-01
1.899999999999999996e-03	5.400000000000000355e+00	5.877051892188879245e-01
1.990000000000000015e-03	7.000000000000000000e+00	5.922188784640568526e-01
1.580000000000000024e-03	6.200000000000000178e+00	5.939318454609467945e-01
1.510000000000000057e-03	6.900000000000000355e+00	5.961478432783713366e-01
6.199999999999999999e-04	6.299999999999999822e+00	6.021927486245448602e-01
1.729999999999999984e-03	5.799999999999999822e+00	6.125843504873605960e-01
1.020000000000000073e-03	2.899999999999999911e+00	6.232163802935526409e-01
1.900000000000000105e-04	3.700000000000000178e+00	6.279872406560641496e-01
